score,stake,suspicion,param_id,node_id,layer,parameter,value,unit,species,source_ref,self_declared,signals
28,4,7,p_670ae47652,clonal_exhaustion,L2,Long-term self-renewing fraction among PTHrP+ colony-forming cells,2-3,%,mouse,mizuhashi2018,False,contradiction|screen|derivation_word|no_dispersion|unread_source|sole_source
28,4,7,p_a2550ea4bf,hypertrophic_chondrocyte,L1,total fold volume increase,23,fold,mouse,cooper2013,False,contradiction|screen|derivation_word|no_dispersion|unread_source|sole_source
28,7,4,p_9137beb338,hypertrophic_chondrocyte,L1,"mean cell height increase, proliferative to late hypertrophic",4,fold,rat,hunziker1987,False,contradiction|flow_model|screen|no_dispersion|unread_source|sole_source
28,7,4,p_ebe9a640c0,hypertrophic_volume_increase,L1,"final volume, fast plate",14000,fl,mouse,cooper2013,False,contradiction|flow_model|screen|no_dispersion|unread_source|sole_source
28,7,4,p_be99ba5726,hypertrophic_volume_increase,L1,"final volume, slow plate",5000,fl,mouse,cooper2013,False,contradiction|flow_model|screen|no_dispersion|unread_source|sole_source
28,7,4,p_89512304c6,hypertrophic_volume_increase,L1,"final volume, jerboa distal metatarsal",23000,fl,multiple,cooper2013,False,contradiction|flow_model|screen|no_dispersion|unread_source|sole_source
28,4,7,p_890fcf5178,hypertrophic_volume_increase,L1,correlation of final hypertrophic volume with elongation rate,0.83,Pearson r,porcine,breur1991,False,contradiction|screen|derivation_word|no_dispersion|unread_source|sole_source
28,7,4,p_15641b1682,physeal_stress_in_vivo,L6,in vivo human physeal stress during gait,not measured,MPa,human,hucke2023,False,contradiction|flow_model|screen|no_dispersion|unread_source|sole_source
28,4,7,p_4d865124f3,statin_ipsc_achondroplasia,L12,genotypes rescued in the iPSC chondrogenic model,2,genotypes,ipsc_derived,yamashita2014,False,contradiction|screen|derivation_word|no_dispersion|unread_source|sole_source
25,5,5,p_ef178c41cf,automated_bone_age_ai,L7,BoneXpert precision on repeat radiograph,0.17,years SD on a single det,human,thodberg2009,False,contradiction|grade_A_B|derivation_word|unread_source|sole_source
25,5,5,p_c6e0cbdad2,bone_age_measurement_error,L7,automated precision on repeat radiograph,0.17,years SD,human,thodberg2009,False,contradiction|grade_A_B|derivation_word|unread_source|sole_source
25,5,5,p_6eb5c2f7de,navepegritide,L12,"apparent elimination half-life, released CNP",5.3,days,human,fda_yuviwel_label_2026,False,contradiction|grade_A_B|derivation_word|unread_source|sole_source
25,5,5,p_b1ae7b09d2,navepegritide,L12,"apparent elimination half-life, navepegritide prodrug",6.7,days,human,fda_yuviwel_label_2026,False,contradiction|grade_A_B|derivation_word|unread_source|sole_source
24,6,4,p_43e2417e4d,achondroplasia,L11,"adult height, females",124,cm,human,merker2018,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_05f1192d02,achondroplasia,L11,cohort size for the European growth reference,466,children,human,merker2018,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_26a5a19df4,achondroplasia,L11,individuals measured for the first achondroplasia growth standards,400,individuals,human,horton1978,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_99d477e999,aggrecan_acan,L5,Fraction of newly synthesised growth plate proteoglycan competent to aggregate,~90,%,bovine,shapses1994,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_6c245f7af9,aggrecan_acan,L5,Zonal rank order of aggrecan synthesis and breakdown rate,RZ/PZ > upper HZ > lower HZ,rank order of 35S-sulpha,bovine,shapses1994,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_6acbeb8edd,aggrecan_acan,L5,Aggrecan large-monomer half-life,3.4,years,human,maroudas1998,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_f3ab9ef53d,aggrecan_acan,L5,Free G1 (hyaluronan-binding region) half-life,25,years,human,maroudas1998,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,4,6,p_1071db383e,cell_cycle_time_pz,L1,"mean cell cycle time, proliferative zone (derived, not measured)",20,days,human,kember1976,False,contradiction|screen|derivation_word|no_dispersion|unread_source
24,4,6,p_57e0b15a1a,cell_cycle_time_pz,L1,"S phase duration (derived, not measured)",22,h,human,thurston1985,False,contradiction|screen|derivation_word|no_dispersion|sole_source
24,6,4,p_5a5f5974c7,clonal_column,L1,"cells per column, proliferative zone",24,cells,human,kember1976,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_6b2eaabedf,clonal_column,L1,clonality of postnatal columns,monoclonal,qualitative,mouse,mizuhashi2018,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_660c9ec309,clonal_column,L1,number of columns analysed in 3D at P40,"737 (distal femur), 512 (proximal tibia)",columns,mouse,rubin2024,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_fddcb024b6,cnp_protein,L3,"NPPC transcript detection, human growth plate, percentile within array",60-70,percentile,human,gse9160,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,8,3,p_7fe2e26d6c,distal_femur_plate,L1,cells per proliferative column,28,cells,human,thurston1985,False,contradiction|flow_model|grade_A_B|derivation_word
24,6,4,p_def18e2a21,elongation_budget,L1,contribution of matrix synthesis to elongation,32,% of elongation,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_53c796311c,elongation_budget,L1,contribution of hypertrophic cell enlargement to elongation,59,% of elongation,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_03591cde3d,elongation_budget,L1,contribution of hypertrophic cell enlargement to elongation,44,% of elongation,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_30bbb4b516,elongation_budget,L1,contribution of matrix synthesis to elongation,49,% of elongation,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_dca0355e09,elongation_budget,L1,new chondrocytes produced per day per growth plate,16400,cells/day,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_84a65d40e1,elongation_budget,L1,new chondrocytes produced per day per growth plate,3700,cells/day,rat,wilsman1996,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_fbc222dbed,epiphyseal_fusion,L7,number of human growth plates reported histologically at the moment of fusion,1,specimens,human,emons2009,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_20dc43fa7b,fgfr3_tyrosine_kinase_inhibitor,L12,"infigratinib IC50, FGFR3 K650E (thanatophoric dysplasia type II allele)",0.5,nM,in_vitro_human_cell,ryu2022,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_1cc0ce860f,fgfr3_tyrosine_kinase_inhibitor,L12,"infigratinib IC50, FGFR3 K650M (SADDAN allele)",44.4,nM,in_vitro_human_cell,ryu2022,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_fa5414c6ff,fgfr3_tyrosine_kinase_inhibitor,L12,"infigratinib IC50, FGFR3 V555M gatekeeper mutant",505.9,nM,in_vitro_human_cell,ryu2022,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_d25c0b63b2,fgfr3_tyrosine_kinase_inhibitor,L12,"infigratinib IC50, FGFR3, microfluidic mobility shift assay",1.0,nM,in_vitro_human_cell,chembl_infigratinib,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_bd4172cdb5,glucocorticoid_cortisol,L4,local dexamethasone dose rate used,80,ng/uL at 1 uL/h,rabbit,baron1992,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_a6d22c757d,glucocorticoid_cortisol,L4,effect of chondrocyte-specific inducible GR deletion on long bone length and growth plate ,0,% (no detectable differe,mouse,tu2014,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_b512e646ec,igf1_systemic,L4,reduction in serum IGF-1 after hepatocyte-specific Igf1 deletion,75,%,mouse,sjgren1999,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_84272cbb65,meclizine_repurposing,L12,effective dose in the achondroplasia mouse model,2,mg/kg/day,mouse,funahashi2024,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_3bf5617f60,npr2_receptor,L3,"BrdU-positive chondrocyte index, cartilage-specific Npr2 knockout vs control",significantly reduced,% of nuclei in prolifera,mouse,nakao2015,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_64f90a1b4c,npr2_receptor,L3,"Npr3 (clearance receptor) mRNA induction by CNP, hypertrophic zone",16,fold,mouse,agoston2007,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_420a39dd17,npr2_receptor,L3,"femur length, cartilage-specific Npr2 knockout vs control",45.3,% of control,mouse,nakao2015,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_5e5082d3ac,npr2_receptor,L3,"adult height, untreated biallelic NPR2 loss of function (AMDM), literature average",120,cm,human,arya2020,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_d9010f4fb4,npr2_receptor,L3,prevalence of heterozygous NPR2 loss of function among idiopathic short stature,6,%,human,vasques2013,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_d53c18ef96,npr2_receptor,L3,prevalence of NPR2 haploinsufficiency among idiopathic short stature,0 to 3.8,%,human,wang2015,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_13aaeefc45,oxygen_gradient_growth_plate,L1,measured oxygen tension in human growth plate zones,not measured,mmHg,human,brighton1971,False,contradiction|flow_model|no_dispersion|unread_source|sole_source
24,6,4,p_10a959d657,pi_ppi_ratio,L5,Ca x P ion product needed for in vitro mineralization of connective tissue,2,mM^2,not_applicable,althoff1982,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_bb7bb47f1d,pi_ppi_ratio,L5,Growth plate extracellular Ca x P ion product relative to that threshold,much greater than 1,"fold above threshold, in",porcine,althoff1982,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_edf346dc64,pi_ppi_ratio,L5,Relative Pi requirement for terminal differentiation versus apoptosis of growth plate chon,apoptosis requires higher Pi than differ,rank order of concentrat,rat,kim2010,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_54be818d14,runx2_tf,L3,Limb length reduction with Runx2/Runx3 gene dose,dose-dependent,qualitative ordering acr,mouse,yoshida2004,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_180f902099,soluble_fgfr3_decoy,L12,"participants enrolled before termination, phase 2 plus extension",95,participants,human,nct05116046,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_6c95d2501e,soluble_fgfr3_decoy,L12,recifercept concentration achieved in growth plate cartilage,not measured,not applicable,not_applicable,nct04638153,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_ed2678d152,thyroid_hormone_t3,L4,"time to induction of alkaline phosphatase, collagen X mRNA and matrix by T3",7,days,rat,robson2000,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_5c6521cbed,tnap_alpl,L5,Plasma TNAP activity in Alpl-/- mice,<1,% of wild type,mouse,fedde1999,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_2fbb4d030f,tnap_alpl,L5,Age at radiographic onset of skeletal disease in Alpl-/- mice,~10,days,mouse,fedde1999,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
24,6,4,p_d7a5582982,tnap_alpl,L5,"Survival of ventilator-dependent infants, treated vs historical",76 (16/21) vs 5 (1/20),%,human,whyte2016,False,contradiction|grade_A_B|screen|no_dispersion|unread_source|sole_source
21,3,7,p_d9e97ca829,appositional_growth,L1,expansion-to-elongation ratio,0.18,dimensionless ratio,mouse,rubin2024,False,contradiction|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_33314957b9,blomstrand_chondrodysplasia,L11,PTH-induced inositol phosphate accumulation in the exon M5 splice mutant,not detectable,not_applicable,in_vitro_animal_cell,jobert1998,False,grade_A_B|screen|derivation_word|no_dispersion|unread_source|sole_source
21,7,3,p_ab0e23b3fc,cell_cycle_time_pz,L1,"mean cell cycle time, proliferative zone (derived, not measured)",15,days,human,thurston1985,False,contradiction|flow_model|screen|derivation_word
21,3,7,p_eeef37917e,cnp_analog_pk_challenge,L12,"mean apparent plasma half-life, CNP released from navepegritide",5.3,days,human,fda_yuviwel_label_2026,False,contradiction|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_f23eb84f09,elongation_budget,L1,contribution of cell division to elongation,7,% of elongation,rat,wilsman1996,False,contradiction|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_314b568edd,gymnastics_stature_effect,L6,peak height velocity in competitive gymnasts (advanced and intermediate),6.2-6.4,cm/yr,human,daly2005,False,contradiction|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_b373cf8ff8,human_growth_plate_tissue_scarcity,L13,ratio of mouse to human GEO growth plate records,6.5,ratio,multiple,geo_census_20260805,False,grade_A_B|screen|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_6612661fac,human_skeletal_stem_cell,L2,mSSC/mBCSP-specific genes used to build the human orthologue score,76,genes,human,chan2018,False,contradiction|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_6533aaa0e4,mouse_model_translation_risk,L13,"proliferative chondrocyte cycle time, rodent vs human",2 vs 20,days,multiple,kember1976,False,grade_A_B|screen|derivation_word|no_dispersion|unread_source|sole_source
21,3,7,p_2e444f3747,testosterone_hormone,L4,morning testosterone in boys with <4% of pubertal growth remaining,>10,nmol/L,human,albin2013,False,grade_A_B|screen|derivation_word|no_dispersion|unread_source|sole_source
20,5,4,p_ee548aa4cd,ankh_transporter,L5,Extracellular PPi increase on ANKH expression in ENPP1-deficient HEK293 cells,0,detectable increase,in_vitro_human_cell,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_965d4e1017,ankh_transporter,L5,Fraction of mouse bone PPi attributable to Ank activity (older estimate),~75,%,mouse,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_2d1973b2ff,ankh_transporter,L5,Fraction of plasma PPi from ANKH,~25,%,mouse,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_fa539a0b22,automated_bone_age_ai,L7,"best deep-learning mean absolute deviation, RSNA challenge",4.2,months,human,halabi2019,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_c62980389a,automated_bone_age_ai,L7,agreement of BoneXpert and VUNO Med-Bone Age with manual GP reading,0.994-0.995,intraclass correlation c,human,zmen2025,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_349645d961,bone_age_measurement_error,L7,"interobserver spread, GP versus TW2",0.96 versus 0.74,years,human,king1994,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_9cd9abdd2e,bone_age_measurement_error,L7,"intra-observer 95% limits of agreement, GP versus TW2",-2.46 to +2.18 versus -1.41 to +1.43,years,human,bull1999,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_a15efd3f36,cartilage_osmotic_swelling,L5,Measured cartilage osmotic swelling pressure relative to ideal Donnan prediction,~0.33,fold,multiple,zimmerman2021,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_7f6c7a42d7,collagen_type_ii,L5,Collagen as fraction of adult articular cartilage dry mass,~66,% dry weight,human,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_f1d6f83d38,collagen_type_ii,L5,"Collagen II mass fraction of fibrillar collagen, adult articular cartilage",>=90,%,human,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_755aa961ba,collagen_type_ix,L5,"Collagen IX mass fraction, young growth cartilage",>=10,% of fibrillar collagen,bovine,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_307343dd9e,collagen_type_ix,L5,"Collagen IX mass fraction, adult articular cartilage",~1,% of fibrillar collagen,human,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_64989884fd,collagen_type_ix,L5,Identified covalent crosslinking sites within the collagen IX molecule,>=6,sites per molecule,bovine,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_f64204c19c,collagen_type_ix,L5,Age at onset of degenerative joint disease in Col9a1-null mice,4,months,mouse,fssler1994,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_fec7ae242e,collagen_type_x,L5,Effect of homozygous Col10a1 deletion on long bone length in mouse,0,detectable difference re,mouse,rosati1994,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_821e7a225f,collagen_type_x,L5,"Growth plate width, Col10a1-null vs control",-14,% of control,mouse,gress2000,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_d7b2b99636,collagen_type_x,L5,Total lethality of Col10a1-null mice,14,%,mouse,gress2000,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_827fc44d08,collagen_type_x,L5,Effect of COL10A1-/- on hypertrophic differentiation markers of human iPSC chondrocytes,0,detectable difference in,ipsc_derived,kamakura2023,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_9a693366fe,collagen_type_x,L5,Bone-area fraction of transplanted proliferating-stage COL10A1-/- iPSC chondrocyte pellets,increased,proportion of tissue are,ipsc_derived,kamakura2023,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_3aad89bf28,collagen_type_xi,L5,"Collagen XI mass fraction, young growth cartilage",>=10,% of fibrillar collagen,bovine,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_d1da6f1cd1,collagen_type_xi,L5,"Collagen XI mass fraction, adult articular cartilage",~3,% of fibrillar collagen,human,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_5c665928f7,collagen_type_xi,L5,Maximum collagen II:XI molar ratio preserving 20 nm fibril diameter,8,mol:mol,in_vitro_animal_cell,blaschke2000,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_f9063cae8f,collagen_type_xi,L5,alpha1(V):alpha1(XI) ratio in the collagen XI fraction of mature articular cartilage,~1,mol:mol,human,eyre2002,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_211315a9ad,collagen_type_xi,L5,Fibril diameter carrying collagen XI in human growth plate,<25,nm,human,keene1995,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_ebf352bf98,distal_femur_plate,L1,mean growth rate,1.4,cm/year,human,kember1976,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_65ce48fcb8,enpp1_enzyme,L5,"Bone PPi content, Enpp1-/- versus wild-type mouse",<2.5,% of wild type,mouse,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_409c8f7929,enpp1_enzyme,L5,"Relative severity of hypermineralization, Enpp1-/- versus ank/ank",Enpp1-/- > ank/ank,rank order,mouse,harmey2004,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_6facbf8ad7,growth_plate_drug_exposure,L12,agents in layer L12 with a published growth plate tissue concentration measurement,0,agents out of 12 audited,multiple,matsuoka2025,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_f45f3bff19,growth_velocity_longitudinal,L1,fraction of lamb tibial elongation occurring during recumbency,90,% or more,ovine,noonan2004,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_d09ae3adee,growth_velocity_measurement_interval,L13,conventional minimum interval for stadiometric height velocity,6,months,human,ahmed1995,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_8a5deff4af,growth_velocity_measurement_interval,L13,temporal resolution required to test the saltation-and-stasis model,daily to sub-weekly,interval,human,lampl1992,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_07acd8f188,guided_growth_tension_band,L6,site distribution of modulations,55.4 distal femur / 44.6 proximal tibia,%,human,tolk2026,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_e1231e4a67,inorganic_pyrophosphate,L5,Urinary inorganic pyrophosphate,>10,umol/L,human,milln2016,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_ace42fbfb3,inorganic_pyrophosphate,L5,Bone PPi content in Enpp1-/- mice relative to wild type,<2.5,% of wild type,mouse,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_1043644aac,inorganic_pyrophosphate,L5,Fraction of plasma PPi attributable to ANKH-mediated NTP efflux,~25,%,mouse,szeri2022,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_1343d3d0cf,inorganic_pyrophosphate,L5,Plasma PPi in Alpl-/- mice and in human hypophosphatasia,raised,"qualitative direction, m",multiple,fedde1999,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_941928d41a,menarche_growth_remaining,L7,variance in menarcheal age explained by data available at start of pubertal growth,44,percent,human,grdstedtbergho2024,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_f92c859455,menarche_growth_remaining,L7,narrowing of 95% adult height prediction interval with menarcheal status,"plus or minus 5 (premenarcheal, age 12) ",cm,human,tanner1975,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_65d51a4ebc,mineralization_front,L5,Extracellular sulphur (sulphated proteoglycan proxy) across the mineralization front,3.5 -> 0.3,% dry mass,porcine,althoff1982,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_a18eb6ba8f,mmp13_protease,L5,Hypertrophic zone size in Mmp13-null mice,markedly increased,qualitative; fold not st,mouse,inada2004,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_ddb7f58a17,navepegritide,L12,steady-state plasma Cmax of released CNP,36.0,pmol/L,human,fda_yuviwel_label_2026,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_4498c49403,navepegritide,L12,estimated concentration of released CNP at the growth plate,not measured,not applicable,not_applicable,fda_yuviwel_label_2026,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_1ba6502180,npr2_agonist_class,L12,"relative risk of injection site reaction, class vs placebo",1.65,relative risk,human,kamrulhasan2026,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,5,4,p_ec42ddc32f,population_variation_fusion,L7,advancement of epiphyseal union in Bosnian versus North American males,at least 2,years earlier,human,schaefer2005,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
20,4,5,p_1605e2d9d4,pthrp_positive_resting_chondrocyte,L2,Long-term self-renewing fraction of PTHrP+ colony-forming cells,2-3,%,mouse,mizuhashi2018,False,contradiction|screen|derivation_word|unread_source|sole_source
20,5,4,p_0a0ff4a306,remaining_growth_prediction,L7,"95% prediction interval for adult height, TW Mark I, boys aged 4-12",plus or minus 7,cm,human,tanner1975,False,contradiction|grade_A_B|no_dispersion|unread_source|sole_source
