target_id,parameter,value,unit,age,sex,population,n,uncertainty,source_ref,which_layer_must_reproduce,notes
t041,guideline target range at +/-1.64 SDS under CDC standards,+/-10.6 (girls) / +/-11.7 (boys),cm,adult,both,US (CDC reference),-,"recommended by GH Research Society, LWPES and ESPE",zeevi2024,L8,About 50 percent wider than the measured predictive SD justifies; see gap g_l9organism_005.
t042,variance in adult child height explained by mid-parental height,36,percent,adult,both,Jewish family cohort,303,"uncorrected Tanner procedure; rises to 40 percent with age, sex and regression corrections",zeevi2024,L8,
t043,regression slope of standardised child height on standardised mid-parental height,0.79,dimensionless,adult,both,Jewish family cohort,303 from 23 families,intercept -0.077,zeevi2024,L8,Regression to the mean; ignoring it misclassifies short children.
t044,regression slope of adult height on mid-parental height,0.78,cm/cm,adult,male,Swedish population-based,2402,y = 45.99 + 0.78x,luo1998,L8,
t045,regression slope of adult height on mid-parental height,0.75,cm/cm,adult,female,Swedish population-based,2402,y = 37.85 + 0.75x,luo1998,L8,
t046,underestimation of target height by the Tanner method at mid-parental height below -2 SDS,6,cm,adult,both,Swedish population-based,2402,versus 2 cm by the linear-regression method,luo1998,L8,
t047,bias of uncorrected mid-parental height (children taller than predicted),2.7,cm,adult,both,"Jewish family cohort, parents aged 62 +/- 5 y",303,falls to 0.06 cm after nonlinear parental-age correction,zeevi2024,L8,"Mostly parental height shrinkage, not secular trend, in this cohort."
t048,heritability of stature from parent-offspring regression,0.75-0.78,proportion (cm scale),adult,both,Swedish population-based,2402,0.55-0.60 when expressed in SDS,luo1998,L8,
t049,male-female height difference at the 3rd percentile,12.2,cm,20 y,both,US (CDC reference),-,read from published charts,zeevi2024,L8,The 13 cm additive sex correction is wrong at both tails.
t050,male-female height difference at the 97th percentile,14.7,cm,20 y,both,US (CDC reference),-,read from published charts,zeevi2024,L8,Multiplicative factor 1.08 fits with R-squared = 1.
t051,proportion of children within 1.5 SDS of mid-parental height SDS,90,percent,8-9 y,both,UK representative survey,419,predicted and confirmed,wright1999,L8,
t052,proportion of catch-up episodes fitted by a monomolecular function,83-90,percent,prepubertal,both,"Dutch clinical (JHT n=20, GHD n=18)",38,failures were episodes where height SDS fell again,wit2021,L2,Catch-up has a rate constant; L2 delayed-senescence models must predict its magnitude.
t053,"catch-up rate constant k, coeliac disease vs juvenile hypothyroidism",higher in coeliac,reciprocal years,prepubertal,both,Dutch clinical,38 + coeliac reference set,p=0.02; absolute k not published,wit2021,L2,Absolute values are gap g_l9organism_006.
t054,"catch-up rate constant k, coeliac disease vs GH deficiency",higher in coeliac,reciprocal years,prepubertal,both,Dutch clinical,38,p=0.004,wit2021,L2,
t055,effect of GH dose on catch-up rate constant,not significant,reciprocal years,prepubertal,both,Dutch clinical GHD subgroups,18,difference did not reach significance,wit2021,L2;L12,
t056,age by which infant realignment onto the parental growth channel is complete,2,years,0-2 y,both,US case series,-,stated; per-infant ages not tabulated,smith1976,L2,Birth length is therefore not the correct initial condition for a postnatal plate model.
t057,proportion of variance in early linear growth attributable to study site,3,percent,0-5 y,both,"six countries (Brazil, Ghana, India, Norway, Oman, USA)",MGRS full sample,approximately,who2006,L10,Under growth-permitting conditions early growth is close to species-universal.
t058,proportion of variance in early linear growth attributable to individuals within sites,70,percent,0-5 y,both,six countries,MGRS full sample,approximately,who2006,L8;L10,
t059,sitting-height/height ratio cut-off required in children with height SDS below -2,+2.5,SD,0-21 y,both,Dutch national,14500,replaces the conventional +2 SD,fredriks2005,L1,"Body proportion depends on size, so trunk/limb plate partition is not scale-invariant."
t060,sensitivity of height-corrected SH/H cut-off for hypochondroplasia,80,percent,childhood,both,Dutch national reference vs confirmed cases,n not stated,-,fredriks2005,L11,
t061,sensitivity of height-corrected SH/H cut-off for Marfan syndrome,30,percent,childhood,both,Dutch national reference vs clinical cases,n not stated,-,fredriks2005,L11,A normal ratio does not exclude disproportion.
t062,"arm span/height ratio, Japanese vs Dutch and Turkish",lower at every age,ratio,5.5-18.5 y,both,Japanese national survey,"11059 (6089 boys, 4970 girls)",direction reported; LMS tables published,hirano2025,L1;L10,Upper- vs lower-limb plate partition is population-specific; gap g_l9organism_008.
t063,"age at which the arm span/height ratio plateaus, Japanese vs Dutch and Turkish",earlier in Japanese,years,adolescence,both,Japanese national survey,11059,direction reported; plateau ages not numerically stated,hirano2025,L7;L10,
t064,anterior cranial base length in short children born SGA,-1.8,SDS,2-32 y,both,Belgian/Dutch clinical,"48 subjects, 77 cephalograms",age- and sex-specific SDS,van1998,L0;L1,"Growth restriction gives a patterned, not uniform, skeletal shortfall."
t065,lower anterior face height in short children born SGA,+1.7,SDS,2-32 y,both,Belgian/Dutch clinical,48,increased despite global short stature,van1998,L1,
t066,bone age delay in untreated isolated GH deficiency,1.99,years,mean age 10.57 +/- 2.24 y,both,Polish clinical,48 GHD vs 48 controls,falls to 1.32 y during treatment,torliskawalkow2026,L7,DENTAL/SKELETAL DISSOCIATION: the skeletal clock is delayed.
t067,dental age delay in untreated isolated GH deficiency,0.31,years,mean age 10.57 y,both,Polish clinical,48 GHD,"vs +0.41 y advance in controls, p=0.024",torliskawalkow2026,L7,The dental clock is essentially unaffected by the same endocrine lesion.
t068,dissociation between bone age delay and dental age delay in GH deficiency,1.68,years,mean age 10.57 y,both,Polish clinical,48,derived by subtraction from the two reported delays,torliskawalkow2026,L4;L7,The magnitude a single-systemic-signal theory of maturation must explain away.
t069,correlation between extent of dental age delay and extent of bone age delay in GHD,not significant,Pearson r,childhood,both,Polish clinical,48,explicitly reported as no significant correlation,torliskawalkow2026,L4;L7,Not merely different means: the two delays are uncorrelated within individuals.
t070,"correlation of age at 90 percent dental maturity with peak height velocity, menarche and skeletal maturity",not significant,Pearson r,childhood/adolescence,female,French-Canadian longitudinal,50,all three comparisons non-significant while PHV-menarche-skeletal were significant,demirjian1985,L4;L7,
t071,dental age delay in short children born SGA with delayed skeletal maturation,none,years,2-32 y,both,Belgian/Dutch clinical,48,dental delay score approximately zero,van1998,L7,Second independent dissociation.
t072,correlation between dental and skeletal maturity stage in unselected schoolchildren,0.85,Pearson r,9.5-16.5 y,both,Peruvian,"280 (140 stunted, 140 controls)","0.855 stunted, 0.863 controls; 0.809 boys, 0.892 girls",floresmir2005,L7,High correlation in health is driven by shared chronological age; see gap g_l9organism_009.
t073,effect of stunting on dental development stage,none detected,not_applicable,9.5-16.5 y,both,Peruvian,280,p=0.497,floresmir2005,L10,
t074,effect of stunting on skeletal maturation stage,none detected,not_applicable,9.5-16.5 y,both,Peruvian,280,p=0.134,floresmir2005,L10,
t075,correlation of Demirjian dental age with cervical vertebral maturation stage,0.779 (M) / 0.785 (F),Spearman rho,7-17 y,both,Iranian orthodontic,194,p<0.001,mohammadianras2026,L7,
t076,"lead of peak lean mass velocity over peak bone mineral content velocity, total body",0.36,years,pubertal spurt,male,Canadian longitudinal (Saskatchewan),70 boys,mean interval,rauch2004,L6,"Muscle leads bone, but the lag is site-specific, which a single systemic driver does not predict."
t077,"lead of peak lean mass velocity over peak bone mineral content velocity, total body",0.51,years,pubertal spurt,female,Canadian longitudinal,68 girls,mean interval,rauch2004,L6,
t078,"lead of peak lean mass velocity over peak BMC velocity, arms",0.71 (F) / 0.63 (M),years,pubertal spurt,both,Canadian longitudinal,138,mean intervals,rauch2004,L6,
t079,"lead of peak lean mass velocity over peak BMC velocity, legs",0.22 (F) / 0.48 (M),years,pubertal spurt,both,Canadian longitudinal,138,mean intervals; three-fold shorter than the arm lag in girls,rauch2004,L6,
t080,variance in total-body peak BMC velocity explained by peak lean mass velocity,50,percent,pubertal spurt,both,Canadian longitudinal,138,"r-squared 0.50, p<0.001",rauch2004,L6,
t081,independent association of peak height velocity with peak BMC velocity,none,not_applicable,pubertal spurt,both,Canadian longitudinal,138,explicitly non-significant after adjusting for lean mass velocity,rauch2004,L1;L6,Longitudinal growth and bone mineral accrual are driven by different variables.
t082,net change in myofibre number during postnatal growth,0,fibres,P7 to P56,both,mouse EDL (C57 background),-,explicitly no net gain,white2010,L2,MOUSE. Muscle keeps its fibres; the plate turns its cell population over continuously. Human equivalent unmeasured (gap g_l9organism_011).
t083,increase in myofibre volume during postnatal growth,14.1,fold,P7 to P56,both,mouse EDL,-,product of 7.6-fold area and 1.9-fold length,white2010,L2,MOUSE.
t084,"satellite cells per myofibre, juvenile to adult",14 falling to 5,cells per fibre,P7 to P21,both,mouse EDL,-,approximately,white2010,L2,MOUSE. Progenitor pool contracts as nuclear accretion ends.
t085,age at which satellite-cell-derived myonuclear addition ceases,21,postnatal days,P21,both,mouse EDL,-,exact as reported,white2010,L2,MOUSE.
t086,age at peak grey matter volume,5.9,years,-,both,multinational MRI aggregate (>100 studies),"123984 scans, 101457 participants",95% bootstrap CI 5.8-6.1,bethlehem2022,L9,Six years before female peak height velocity: the brain clock and the plate clock are not the same clock.
t087,age at peak white matter volume,28.7,years,-,both,multinational MRI aggregate,123984 scans,95% bootstrap CI 28.1-29.2,bethlehem2022,L9,Fifteen years after peak height velocity.
t088,age at peak total cerebrum volume,12.5,years,-,both,multinational MRI aggregate,123984 scans,95% bootstrap CI 12.14-12.89,bethlehem2022,L9,
t089,age at peak grey matter volume velocity,5.08,months,-,both,multinational MRI aggregate,123984 scans,95% bootstrap CI 4.85-5.22,bethlehem2022,L9,
t090,brain tissue classes showing an adolescent volume spurt,0,classes,adolescence,both,multinational MRI aggregate,123984 scans,"none of GMV, WMV, sGMV, TCV, thickness or surface area",bethlehem2022,L9,There is no cerebral counterpart to the pubertal growth spurt; scale gap g_l9organism_014.
t091,increase in brain weight from birth to 3 years,4,fold,0-3 y,both,US autopsy series,4736 pathology-free brains,quadruples over birth weight,dekaban1978,L9,
t092,age at maximum brain weight,19,years,-,both,US autopsy series,4736,about 19 years,dekaban1978,L9,
t093,male-female difference in brain weight,9.8,percent,all ages,both,US autopsy series,"2773 male, 1963 female",males heavier,dekaban1978,L9,
t094,children with complete or partial sagittal suture closure,11.1,percent,0-18 y,both,"US paediatric CT (healthy, screened)",1119,three neuroradiologist consensus,han2025,L7,Classical teaching (third decade) is wrong; calvarial growth sites stop decades before appendicular ones.
t095,children with any asymptomatic calvarial suture closure before adulthood,up to 17,percent,0-18 y,both,US paediatric CT,1119,as stated in the conclusion,han2025,L7,
t096,"proportion with open sagittal suture, under age 3 vs by age 9",99.3 falling to 83,percent,0-9 y,both,US paediatric CT,1119,exact,han2025,L7,
t097,age at spheno-occipital synchondrosis fusion stages 3-4,12.7-13.9,years,-,male,Korean 3D CT,"630 (308 M, 322 F)",proposed marker of the pubertal growth peak,kim2024,L7,The endochondral cranial base ceases on the same schedule as the appendicular skeleton; the sutures do not.
t098,age at spheno-occipital synchondrosis fusion stages 3-4,11.0-12.5,years,-,female,Korean 3D CT,630,1.4-1.7 y earlier than males; OR for more advanced stage 1.972 (95% CI 1.063-3.658),kim2024,L7,
t099,correlation of spheno-occipital fusion stage with cervical vertebral maturation stage,0.955 (M) / 0.964 (F),Spearman rho,6-18 y,both,Korean 3D CT,630,p<0.001,kim2024,L7,"Two endochondral sites in different lineages track each other almost perfectly, unlike the dental clock."
t100,lateral trochlear articular cartilage thickness,4.4,mm,7-18 y,male,US paediatric knee MRI,240 knees,SD 1.4 mm,sidharthan2021,L1;L5,Articular cartilage thins as the physis closes; the two cartilages are not one programme.
t101,lateral trochlear articular cartilage thickness,3.6,mm,7-18 y,female,US paediatric knee MRI,240 knees,SD 1.3 mm; sex difference p<0.001,sidharthan2021,L1;L5,
t102,effect of open distal femoral physis on femoral articular cartilage thickness,thicker with open physis,mm,7-18 y,both,US paediatric knee MRI,240 knees,"p<0.001 at medial condyle, lateral condyle and lateral trochlea",sidharthan2021,L1;L7,
t103,association of patellar cartilage thickness with age or skeletal maturity,none,not_applicable,7-18 y,both,US paediatric knee MRI,240 knees,reported as no strong correlation,sidharthan2021,L1;L6,"Site-specific, so not a whole-joint maturation effect."
